,Name,Country,Proven victims,Possible victims,Notes,Start year,End year,Nickname
367,Petr Zelenka,Czech,7,21,Killed his victims with a lethal injection of heparin from May to September 2006. Ten people survived his murder attempt. Suspected of up to 14 additional murders.,2006,Unknown,
368,Orville Lynn Majors,United,6,130,"LPN in Vermillion County Ind., Preyed on elderly patients—thought to have killed many of them with injections of potassium chloride. Sentenced to 360 years in Indiana.",1993,1995,
369,Efren Saldivar,United,6,50+,"Respiratory therapist who killed six patients, possibly as many as 120.",1989,1997,
370,Christine Malèvre,France,6,30,"Nurse who killed terminally ill patients claiming that they had asked her to help them die, something denied by their families. Sentenced to 12 years in prison for six murders and suspect of 30.",1998 and earlier,Unknown,
371,Antoinette Scieri,France,6,12+,Nurse who poisoned her elderly patients. Death sentence was commuted to life in prison and she died in prison.,1924,1925,
372,Ahmad Ahmadi,Imperial,6,Unconfirmed,Responsible for killing political prisoners at Qasr prison during the reign of Reza Shah.,1931,1944,
373,Frans Hooijmaijers,Netherlands,5,259,"Nurse who was convicted for killing five patients at a hospital in Kerkrade, the Netherlands from 1970 to 1975, but was suspected to have killed approximately 259 people.",1970,1975,
374,Miyuki Ishikawa,Japan,5,84,"Killed 84 newborn children at maximum. As a midwife, she killed infants born to parents unwilling to care for them during the prohibition of abortion in Japan. Arrested in 1948, and sentenced to four years imprisonment in 1953 as final decision.",1946,1948,
375,Kristen Gilbert,United,5,70+,"Nurse at a Massachusetts Veterans Medical Center who injected male patients with epinephrine, causing heart attacks. Sentenced to life without parole.",1990,1996,
376,Amy Archer-Gilligan,United,5,48+,"A nursing home proprietor believed to have poisoned as many as 60 patients from her homes and her second husband. Charged with five murders originally, this was lowered to just one following her admission of guilt, and was found guilty of second degree murder. Died in a mental hospital in 1962.",1910,1917,
377,Sonya Caleffi,Italy,5,18,Nurse who poisoned terminally-ill patients; sentenced to 20 years imprisonment.,2003,2004,
378,Michael Swango,United,4,60+,Medical Doctor who killed patients.,1981,1997,
379,Kermit Gosnell,United,4,100+,"Gosnell, who ran an abortion clinic, was charged with eight and convicted of four murders. Three babies were born alive, then killed by cutting the infant's spine with scissors. One mother died due to complications. Testimony indicated hundreds of similar procedures carried out by Gosnell and his staff.",1989?,2010,
380,Edson Izidoro Guimarães,Brazil,4,131,"Nurse who injected patients with potassium chloride or removed their oxygen mask. Confessed to five murders which he claimed to be mercy killings and was convicted of four in 2000; sentenced to 76 years in prison. He may have killed as many as 131 patients for money, as he was paid $60 for informing local funeral homes of a patient's death so that they could contact the deceased's relatives first.",1999 and earlier,Unknown,
381,Richard Angelo,United,4,25,"Known as ""The Angel of Death"". New York nurse convicted of four murders, linked to six other deaths. Suspected of killing up to 25 people.",1987,Unknown,The Angel of Death
382,Colin Norris,United,4,18,"Convicted of murdering four elderly women and attempting to murder another in two Leeds hospitals during 2002 while working as a nurse. He had injected the women, who were only in hospital due to broken hips, with massive overdoses of insulin. He was sentenced to life imprisonment with a minimum term of 30 years in 2008.",2002,Unknown,
383,Beverley Allitt,United,4,Unconfirmed,Convicted of murdering four children and attacking another six in the Lincolnshire hospital where she worked as a nurse. Given 13 life sentences.,1991,Unknown,
384,Andrés Ulises Castillo Villarreal,Mexico,3,12+,"Known as ""The Chihuahua Ripper""; drugged, raped and then killed men in Chihuahua; sentenced to 120 years imprisonment.",2009,2015,The Chihuahua Ripper
385,Elfriede Blauensteiner,Austria,3,10+,"Known as ""The Black Widow""; poisoned people for material gain; died from a brain tumor in 2003.",1981,1995,The Black Widow
386,Benjamin Geen,United,2,12,"Nurse convicted in 2006 of murdering two patients and causing grievous bodily harm to another 15 at Horton General Hospital in Banbury, Oxfordshire between 2003 and 2004. Induced illness in the patients with overdoses of drugs, in order to enjoy the 'thrill' of resuscitating them. Given 17 life sentences and ordered to serve at least 30 years imprisonment. 9 other cases were originally investigated.",2003,2004,
387,Victorino Chua,United,2,5,Poisoned several patients at Stepping Hill Hospital with Insulin.,2011,Unknown,
388,Murder Incorporated,United,400,1000+,"Murder Incorporated or Murder Inc. for short was a large criminal enterprise of small contract-killing groups that were collectively known as Murder Inc. Run by Albert ""The Mad Hatter"" Anastasia and his close associates, the organization was responsible for the assassinations of key witnesses of early Cosa Nostra activities, so as to make them 'disappear' and break the case against the lead mobsters whenever they went to trial. In 1941 the group was exposed by former member Abe ""Kid Twist"" Reles and subsequently ceased to exist.",1920s,1940,The Mad Hatter
389,Philadelphia poison ring,United,114,Unconfirmed,"Gang of 16 that poisoned Italian immigrants with arsenic in order to collect their life insurance. The leaders, cousins Herman and Paul Petrillo, were executed in the electric chair in 1941 while the rest were given life sentences.",1931,1938,
390,Delfina and María de Jesús González,Mexico,91+,Unconfirmed,"Two sisters who ran a brothel in Mexico, hired numerous prostitutes and murdered at least 80 of them after they were deemed useless during the span of 10 years. They also killed 11 men. Probably the work of four of the sisters, sentenced to 40 years in prison. Body count varies due to the combined work of the sisters being impossible to assign to them individually.",1955,1964,
391,"Peng Miaoji, Ding Yunjia and Su Xiaoping",China,77,84,"Fleeing to Shaanxi, Jiangsu, Anhui, and Henan provinces and 21 provinces and cities 33 administrative villages; during 38 burglaries, killed 77 people, seriously injured three others.",1998,1999,
392,David Avendaño Ballina and his followers,Mexico,70,70,Sex servant gang who robbed and then poisoned their clients; the leader Ballina was arrested in 2008.,1997,2007,
393,Angel Makers of Nagyrév,Hungary,50,300+,"26 women who poisoned their husbands (sometimes also their parents, lovers and children) with arsenic under the guidance of midwife Júlia Fazekas and her accomplice, Susi Oláh.",1911,1929,
394,Long Zhimin and Yan Shuxia,China,48,48+,Shaanxi Province Wang Shou villagers Long Zhimin and Yan Shuxia in the home has killed 48 people.,1983,1985,
395,"Bian Kuang, Fu Xinyuan and Luo Lianshun",China,41,Unconfirmed,"Manufacturing 51 cases of murder, robbery, rape, killing 41 people. Bian Kuang personally killed 39 people.",2001,2002,
396,Ivanova and Olga Tamarin,Russia,40,130,"A mother and daughter who used accomplices to lure victims to their home; Tortured, murdered, and cannibalized at least 40 people before they were apprehended.",1909,Unknown,
397,Ryno-Skachevsky gang,Russia,37,Unconfirmed,"Racist skinhead gang, led by Artur Ryno and Pavel Skachevsky, who killed people from non-European ethnicities or backgrounds; both sentenced to 10 years of penal labour.",2006,2007,
398,Gang of Amazons,Russia,30,Unconfirmed,"Family of robbers and serial killers, led by the parents Inessa Tarverdiyeva and Roman Podkopaev.",2003,2013,
399,"Dean Corll, David Owen Brooks and Elmer Wayne Henley",United,28,29+,"Corll, known as ""The Candy Man"", killed at least 28 teenage boys and young men in Houston between 1970 and 1973. Corll was then shot and killed by one of the two teenage accomplices he recruited to assist him in the abductions of the victims on 8 August 1973. This accomplice, Elmer Wayne Henley, informed the police of the trio's murders the same day Corll was murdered.",1970,1973,The Candy Man
400,Brabant killers,Belgium,28,40+,"Gang made up by at least three extremely violent robbers, none of whom was ever identified or apprehended. Their bloodlust increased dramatically in their last year of activity, when they began shooting passersby before a robbery, including children, for no seeming reason. Some have theorized links to Operation Gladio.",1982,1985,
401,Adolfo Constanzo and Sara Aldrete,Mexico,25+,Unconfirmed,"""The Godparents of Matamoros"". Leader and second-in-command of a drug-smuggling cult that abducted men to perform human sacrifices.",1986,1989,The Godparents of Matamoros
402,Shankill Butchers,United,23,23+,"Ulster Loyalist gang led by Lenny Murphy, who killed people in sectarian attacks.",1975,1982,
403,Viktor Sayenko and Igor Suprunyuk,Ukraine,21,Unconfirmed,"""The Dnepropetrovsk Maniacs"". A pair of 19-year-olds who, over the course of less than a month, attacked and murdered passersby while out on walks. They recorded videos of some of the murders, including one which subsequently leaked to the Internet.",2007,Unknown,The Dnepropetrovsk Maniacs
404,Marcelo de Jesus Silva and his death squad,Brazil,20+,Unconfirmed,"Brazilian man convicted of 20 counts of murder, robbery, drug trafficking and death squad. As he had 1.28m in height, he was nicknamed Chucky and Pigmeu. Murdered in 2010 by rivals traffickers.",?,2010,
