Name,Born,Died,Cause of death,Nicknames,Motive,Conviction,Criminal Penalty,Criminal Status,Victims,Span of Crimes,Country,State(s),Date Apprehended
Frankford Slasher,Leonard Christopher (convicted of one of the murders),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,8–9,"August 19, 1985 – September 6, 1990",United States,Pennsylvania,"May 5, 1990 (Leonard Christopher)"
Kendall Francois,"(1971-07-26)July 26, 1971Poughkeepsie, New York, U.S.","September 11, 2014(2014-09-11) (aged 43)Wende Correctional Facility, Alden, New York, U.S.",Unknown,"""The Poughkeepsie Killer"", ""Stinky""",Unknown,First degree murder (8 counts),Unknown,Unknown,8–10+,"October 1996 – August 26, 1998",United States,New York,"September 2, 1998"
Hilda Nilsson,"24 May 1876Helsingborg, Sweden","10 August 1917(1917-08-10) (aged 41)Landskrona, Sweden",Unknown,Unknown,Financial trouble,Murder (8 counts),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Yoshio Kodaira,"(1905-01-28)28 January 1905Tochigi, Tochigi Prefecture, Empire of Japan","5 October 1949(1949-10-05) (aged 44)Miyagi Prison, Sendai, Occupied Japan",Unknown,Unknown,Unknown,Murder (8 counts),Unknown,Unknown,8+,2 July 1932 – 6 August 1946 (confessed to at least one additional murder in China in the 1920s),Japan and possibly China,"Tochigi, Tokyo",20 August 1946
John Christie,"John Reginald Halliday Christie(1899-04-08)8 April 1899Northowram, West Riding of Yorkshire, England, UK","15 July 1953(1953-07-15) (aged 54)HM Prison Pentonville, London, England, UK",Unknown,"The Rillington Place Strangler, The Monster of Rillington Place",Unknown,Murder (6 counts),Unknown,Unknown,8+,24 August 1943  –  6 March 1953,England,Unknown,31 March 1953
Eric Edgar Cooke,"(1931-02-25)25 February 1931Perth, Western Australia, Australia","26 October 1964(1964-10-26) (aged 33)Fremantle Prison, Fremantle, Western Australia, Australia",Unknown,The Night CallerThe Nedlands Monster,Unknown,Wilful murder,Unknown,Unknown,8,1959–1963,Australia,Western Australia,1 September 1963
John Edward Robinson,"John Edward Robinson (1943-12-27) December 27, 1943 (age 80)Cicero, Illinois, U.S.",Unknown,Unknown,Unknown,Unknown,KansasCapital murder (2 counts)MissouriFirst degree murder (5 counts),Unknown,Unknown,8+,1984–2000,United States,"Kansas, Missouri","June 2, 2000"
Bruce McArthur,"Thomas Donald Bruce McArthur (1951-10-08) October 8, 1951 (age 73)Lindsay, Ontario, Canada",Unknown,Unknown,Unknown,Unknown[5],"First-degree murder (8 counts)January 29, 2019 (2019-01-29)",Unknown,Unknown,8,2010–2017,Canada,Unknown,"January 18, 2018 (2018-01-18)"
Paul Ogorzow,"Paul Saga(1912-09-29)29 September 1912Muntowen, East Prussia, Imperial Germany","26 July 1941(1941-07-26) (aged 28)Plötzensee Prison, Berlin, Nazi Germany",Unknown,The S-Bahn Murderer,Sexual sadismMisogyny,Murder (8 counts)Attempted murder (6 counts)Assault (31 counts),Unknown,Unknown,8+,August 1939 – July 1941,Nazi Germany,Unknown,12 July 1941
Genzo Kurita,"Genzo Kurita(1926-11-03)November 3, 1926Ogachi District, Akita, Empire of Japan","October 14, 1959(1959-10-14) (aged 32)Miyagi Prison, Sendai, Japan",Unknown,Unknown,Unknown,Murder (8 counts),Unknown,Unknown,8,"February 1948 – January 13, 1952",Japan,"Chiba, Tochigi, Shizuoka","January 16, 1952"
Marie Noe,"Marie Lyddy(1928-08-23)August 23, 1928Philadelphia, Pennsylvania, U.S.","May 5, 2016(2016-05-05) (aged 87)Philadelphia, Pennsylvania, U.S.",Unknown,Unknown,Unknown,Second degree murder,Unknown,Unknown,8,Unknown,United States,Pennsylvania,1998
Kiyoshi Okubo,"Kiyoshi Ōkubo(1935-01-17)January 17, 1935Gunma, Japan","January 22, 1976(1976-01-22) (aged 41)Tokyo Detention House, Tokyo, Japan",Unknown,Gunma’s Stalin,Unknown,Unknown,Unknown,Unknown,8,"March 31 – May 10, 1971",Japan,Gunma,"May 14, 1971"
Marybeth Tinning,"Marybeth Roe (1942-09-11) September 11, 1942 (age 82)Duanesburg, New York, U.S.",Unknown,Unknown,Unknown,Unknown,"Second-degree murderJuly 17, 1987",Unknown,Unknown,9 (charged for 3),Unknown,Unknown,Unknown,Unknown
Michael Bruce Ross,"(1959-07-26)July 26, 1959Putnam, Connecticut, U.S.","May 13, 2005(2005-05-13) (aged 45)Osborn Correctional Institution, Somers, Connecticut, U.S.",Unknown,The Roadside StranglerThe Egg Man,Unknown,ConnecticutCapital felony (4 counts)New YorkFirst degree manslaughter,Unknown,Unknown,8+,"May 12, 1981 – June 13, 1984",United States,New YorkConnecticutPossibly Indiana,"June 29, 1984"
Gary C. Evans,"Gary Charles Evans(1954-10-07)October 7, 1954Troy, New York, U.S.","August 14, 1998(1998-08-14) (aged 43)Menands Bridge, New York, U.S.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5,February 1985 – October 1997,United States,New York,"May 27, 1998"
Colonial Parkway Killer,"November 18, 1954","December 15, 2017",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10+,"October 12, 1986 – September 5, 1989",United States,Virginia,Unknown
Sean Vincent Gillis,"(1962-06-24) June 24, 1962 (age 62)Baton Rouge, Louisiana, U.S.",Unknown,Unknown,The Other Baton Rouge Killer,Unknown,"First degree murder,Second degree murder",Unknown,Unknown,8,March 1994 – February 2004,United States,Louisiana,"April 29, 2004"
Vladimir Mukhankin,"Влади́мир Анато́льевич Муха́нкин  Vladimir Anatolyevich Mukhankin (1960-04-22) 22 April 1960 (age 64)Zernogradsky District, Rostov Oblast, RSFSR, Soviet Union",Unknown,Unknown,"The Pupil of Chikatilo, Lenin",Unknown,Murder with aggravating circumstancesAttempted murder,Unknown,Unknown,9,Unknown,Russia,Unknown,Unknown
Manuel Delgado Villegas,"Manuel Delgado Villegas25 January 1943Seville, Andalusia, Spain","2 February 1998 (aged 55)Badalona, Catalonia, Spain",Unknown,El ArropieroEl Estrangulador del Puerto,Unknown,Life Sentence,Unknown,Unknown,"7 confirmed, 48 claimed",1964–1971,"France, Italy, Spain",Unknown,18 January 1971
Ershad Sikder,"1955Madargona village, Nalchity Upazila, Bangladesh (Then East Pakistan)","10 May 2004(2004-05-10) (aged 48–49)Khulna District Jail, Bangladesh",Unknown,"""Ranga chora"" (White theft)",Unknown,Murder x7RobberyExtortionTheft,Unknown,Unknown,60+,1991–1999,Bangladesh,Unknown,1999
Diego Alexánder Ruiz Restrepo,"Diego Alexánder Ruiz Restrepo (1990-03-14) 14 March 1990 (age 34)Cali, Colombia",Unknown,Unknown,Psychopath of Meiggs,Unknown,Unknown,Unknown,Unknown,7–27,2018–2020,Chile,Unknown,9 November 2020
Ivan Milat,"Ivan Robert Marko Milat(1944-12-27)27 December 1944Guildford, New South Wales, Australia","27 October 2019(2019-10-27) (aged 74)Long Bay Correctional CentreMatraville, New South Wales, Australia",Unknown,The Backpacker KillerThe Backpacker Murderer,Unknown,Murder (7 counts)Attempted murderFalse imprisonment Robbery,Unknown,Unknown,7+,1989–1992,Australia,New South Wales,22 May 1994
Reta Mays,"Reta Phyllis Mays (1975-06-16) June 16, 1975 (age 49)Reynoldsville, West Virginia, U.S.",Unknown,Unknown,Unknown,Unknown,Second degree murder (18 U.S.C. § 1111) (7 counts)Assault with intent to commit murder (18 U.S.C. § 113),Unknown,Unknown,8+,July 2017 – June 2018,United States,West Virginia,"July 14, 2020"
Michael Wayne McGray,"(1965-07-11) July 11, 1965 (age 59)Collingwood, Ontario Canada",Unknown,Unknown,Unknown,Unknown,Murder,Unknown,Unknown,7–18+,1985–1998,CanadaUnited States (alleged),Unknown,Unknown
Łódź Gay Murderer,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,7,1988–1993,Poland,Unknown,Never captured
John Floyd Thomas Jr.,"(1936-07-26) July 26, 1936 (age 88)Los Angeles, California, U.S.",Unknown,Unknown,The Westside RapistThe Southland StranglerWillie Eugene Wilson[1],Unknown,Unknown,Unknown,Unknown,7–15+,November 1972 – June 1986,United States,California,"March 31, 2009"
Kenneth Erskine,"(1963-07-01) 1 July 1963 (age 61)Hammersmith, London, England",Unknown,Unknown,The Stockwell Strangler,Unknown,Unknown,Unknown,Unknown,7–11,9 April – 28 July 1986,Unknown,Unknown,28 July 1986
David Carpenter,"David Joseph Carpenter (1930-05-06) May 6, 1930 (age 94)San Francisco, California, U.S.",Unknown,Unknown,The Trailside Killer,Unknown,"Attempted murder, attempted rape, kidnapping, murder, rape, robbery",Unknown,Unknown,8–10+,"August 19, 1979 – May 2, 1981",United States,California,"May 14, 1981"
Vladimir Kuzmin,"Vladimir Ivanovich Kuzmin (1965-09-14) 14 September 1965 (age 59)Moscow, RSFSR",Unknown,Unknown,Syosvoski,Unknown,"Murder, manslaughter",Unknown,Unknown,7–20,June – September 1997,Russia,Moscow,Unknown
Tommy Recco,"Joseph-Thomas Recco (1934-05-10) 10 May 1934 (age 90)Propriano, Corsica, France",Unknown,Unknown,"""Tommy""""Geronimo""",Unknown,Murder,Unknown,Unknown,7–10,1960–1980,France,Unknown,Unknown
Derrick Todd Lee,"(1968-11-05)November 5, 1968St. Francisville, Louisiana, U.S.","January 21, 2016(2016-01-21) (aged 47)Zachary, Louisiana, U.S.",Unknown,The Baton Rouge Serial Killer,Unknown,"Assault
Burglary
Murder
Stalking
Trespassing
Voyeurism",Unknown,Unknown,7+,"August 23, 1992 – March 3, 2003",United States,Louisiana,"May 27, 2003"
Tomás Maldonado Cera,"1971 (age 52–53)Barranquilla, Atlántico Department, Colombia",Unknown,Unknown,"""The Satanist""",Unknown,Murder,Unknown,Unknown,7–10,2002–2018,Colombia,Atlántico Department,Unknown
Peter Manuel,"Peter Thomas Anthony Manuel(1927-03-13)13 March 1927New York City, New York, United States","11 July 1958(1958-07-11) (aged 31)HM Prison Barlinnie, Glasgow, Scotland",Unknown,The Beast of Birkenshaw,Unknown,Capital murderRapeSexual assault,Unknown,Unknown,7+,2 January 1956 – 1 January 1958,Scotland,Unknown,14 January 1958
Terry Blair,"Terry Anthony Blair(1961-09-16)September 16, 1961[citation needed]Kansas City, Missouri, U.S.[citation needed]","May 11, 2024(2024-05-11) (aged 62)Potosi, Missouri, U.S.",Unknown,Unknown,Unknown,Second degree murder (1982)Six counts of first degree murder (2008),Unknown,Unknown,7+,1982–2004,United States,Missouri,"September 14, 2004"
Doug Clark,"Douglas Daniel Clark(1948-03-10)March 10, 1948Pennsylvania, U.S.","October 11, 2023(2023-10-11) (aged 75)Marin County, California, U.S.",Unknown,The Hollywood SlasherThe Sunset Strip KillerThe Sunset Strip Slayer,Unknown,First degree murder with special circumstances (6 counts),Unknown,Unknown,6+,Unknown,United States,California,"August 11, 1980"
Stanisław Modzelewski,"(1929-03-15)15 March 1929Szczepankowo, Poland","13 November 1969(1969-11-13) (aged 40)Mokotów Prison, Warsaw, Polish People's Republic",Unknown,The Vampire of Gałkówek,Unknown,Murder (7 counts)Attempted murder (3 counts),Unknown,Unknown,7–8,1952–1967,Poland,Unknown,1967
Michael Hughes,"Michael Hubert Hughes1958 (age 65–66)Michigan, U.S.",Unknown,Unknown,Southside Slayer,Unknown,Unknown,Unknown,Unknown,7+,1986–1993,United States,"California, possibly Michigan and Maryland",1993
Roger Kibbe,"Roger Reece Kibbe(1939-05-21)May 21, 1939San Diego County, California, U.S.[1]","February 28, 2021(2021-02-28) (aged 81)Mule Creek State Prison, Ione, California, U.S.",Unknown,I-5 Strangler,Unknown,First degree murder with special circumstances (6 counts)First degree murder,Unknown,Unknown,8+ (7 convicted),1977–1987,Unknown,California,Unknown
Connecticut River Valley Killer,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,7+,"October 24, 1978 – August 6, 1988 (Confirmed)",United States,"New Hampshire, Vermont",Unknown
Paul Durousseau,"Paul Durousseau (1970-08-11) August 11, 1970 (age 54)Beaumont, Texas, U.S.",Unknown,Unknown,The Jacksonville Strangler,Unknown,First degree murder,Unknown,Unknown,7+,"January 6, 1997 – January 20, 2003","U.S., possibly Germany",Georgia and Florida,"June 17, 2003"
Todd Kohlhepp,"Todd Christopher Sampsell (1971-03-07) March 7, 1971 (age 53)Fort Lauderdale, Florida, U.S.",Unknown,Unknown,Unknown,Unknown,ArizonaKidnappingSouth CarolinaMurder (7 counts)Kidnapping (3 counts)First degree criminal sexual conduct,Unknown,Unknown,7 killed (confirmed)2 survivors(possibly more crimes),"November 25, 1986; November 7, 2003 – August 31, 2016",United States,South CarolinaArizona,"November 3, 2016"
Darren Deon Vann,"(1971-03-21) March 21, 1971 (age 53)Indiana, U.S.",Unknown,Unknown,Donald Vann,Unknown,Murder (7 counts),Unknown,Unknown,7–18[1],2013 – October 2014,United States,"Indiana, possibly others","October 18, 2014"
Aileen Wuornos,"Aileen Carol Pittman(1956-02-29)February 29, 1956[1]Rochester, Michigan, U.S.","October 9, 2002(2002-10-09) (aged 46)Florida State Prison, Florida, U.S.",Unknown,Sandra KretschSusan Lynn BlahovecLee BlahovecCammie Marsh GreeneLori Kristine Grody[1],Unknown,6 counts of first-degree murder,Unknown,Unknown,7,"November 30, 1989 – November 19, 1990",United States,Florida,"January 9, 1991"
Hu Daoping,1971Chongqing,"April 14, 2006(2006-04-14) (aged 34–35)",Unknown,Wu Jun,Unknown,Murder,Unknown,Unknown,7,2003–2005,China,Sichuan,"September 10, 2005"
José Misael Roldán Concha,"José Misael Roldán Concha30 June 1934Máfil, Valdivia Province, Chile","After 1958Isla Teja, Valdivia, Chile",Unknown,Unknown,"Unknown, possibly alcoholism",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Sataro Fukiage,"Satarō FukiageFebruary 1, 1889Kyoto Prefecture, Empire of Japan","September 28, 1926(1926-09-28) (aged 37)Ichigaya Prison Tokyo, Empire of Japan",Unknown,Shinshūmaro,Unknown,Murder,Unknown,Unknown,7+,1906–1924,Japan,"Kyoto, Gunma, Nagano, Saitama, Chiba",1924
Joseph Taborsky,"Joseph L. Taborsky(1924-03-23)March 23, 1924Hartford, Connecticut, U.S.","May 17, 1960(1960-05-17) (aged 36)Wethersfield State Prison, Wethersfield, Connecticut, U.S.",Unknown,"""Mad Dog""",Unknown,First degree murder,Unknown,Unknown,7,1950–1957,United States,Connecticut,"February 23, 1957"
Václav Mrázek,"(1925-10-22)22 October 1925Svinařov, Czechoslovakia","29 December 1957(1957-12-29) (aged 32)Pankrác Prison, Prague, Czechoslovakia",Unknown,Unknown,Unknown,Murder x7,Unknown,Unknown,7+,1951–1956,Czechoslovakia,"Ústí nad Labem, Central Bohemia",17 March 1957
Anatoly Slivko,"Anatoly Yemelianovich Slivko(1938-12-28)28 December 1938Izerbash, Dagestan ASSR, Russian SFSR, USSR","(1989-09-16)16 September 1989 (age 50)Novocherkassk prison, Novocherkassk, Russian SFSR, USSR",Unknown,Unknown,Sexual sadismPossessionNecrophilia,Murder with aggravating circumstances,Unknown,Unknown,7+,2 June 1964 – 23 July 1985,Soviet Union,Unknown,28 December 1985
Cincinnati Strangler,"Posteal Laskey Jr.June 18, 1937Cincinnati, Ohio, U.S.","May 29, 2007 (aged 69)Pickaway Correctional Institution, Scioto Township, Pickaway County, Ohio, U.S.",Unknown,Unknown,Unknown,First degree murder,Unknown,Unknown,7 (one conviction),1965–1966,United States,Ohio,December 1966
Paul Steven Haigh,(1957-09-05) 5 September 1957 (age 67),Unknown,Unknown,Unknown,Unknown,Murder (7 counts),Unknown,Unknown,7,1978–1991,Australia,Victoria,1979
Aleksey Sukletin,"Aleksey Vasilevich Sukletin(1943-03-23)March 23, 1943[5]Kazan, Tatar ASSR, Russian SFSR, Soviet Union","29 July 1987(1987-07-29) (aged 44)[6]Kazan, Tatar ASSR, Russian SFSR, Soviet Union",Unknown,"""The Alligator"",[1]""The Vassilyevo Cannibal"",[2]""The Kazan Ogre"",[3]""The Volga Alligator""[4]",Unknown,Murder with aggravating circumstancesCannibalism,Unknown,Unknown,7,1979–1985,Soviet Union,Tatar ASSR,4 June 1985
Roberto Succo,"(1962-04-03)3 April 1962Mestre, Venice, Italy","23 May 1988(1988-05-23) (aged 26)Vicenza, Italy",Unknown,"""The Monster of Mestre""""The Killer with the Eyes of Ice""""The Full Moon Assassin""""The Cherubino Nero""Roberto Kurt",Unknown,Murder,Unknown,Unknown,7,1981–1988,"Italy, France",Unknown,28 February 1988
Walter E. Ellis,"Walter Earl Ellis(1960-06-24)June 24, 1960Holmes County, Mississippi, U.S.","Error: Need valid death date (first date): year, month, daySioux Falls, South Dakota, U.S.",Unknown,"""The Milwaukee North Side Strangler""""Wodell""",Unknown,Unknown,Unknown,Unknown,8–10+ (7 convictions),"October 10, 1986 – April 27, 2007",United States,Wisconsin,"September 7, 2009"
Harrison Graham,"Harrison Frank Graham (1959-09-09) September 9, 1959 (age 65)Philadelphia, Pennsylvania, U.S.",Unknown,Unknown,"""Marty"" “Frank” “junior”",Unknown,7 × murder7 × desecrating a corpse,Unknown,Unknown,7,1986–1987,United States,Pennsylvania,"August 17, 1987"
Guy Georges,"Guy Rampillon (1962-10-15) 15 October 1962 (age 62)Vitry-le-François, France",Unknown,Unknown,The Beast of the Bastille,Unknown,Unknown,Unknown,Unknown,7,24 January 1991 – 16 November 1997,France,Unknown,26 March 1998
Motta Navas,"Navas1966Kollam, India",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,7,June – August 2012,India,Kerala,Unknown
Paul Dennis Reid,"Paul Dennis Reid, Jr.(1957-11-12)November 12, 1957Richland Hills, Texas, U.S.","November 1, 2013(2013-11-01) (aged 55)Nashville, Tennessee, U.S.",Unknown,"""The Fast Food Killer""Justin Parks",Unknown,First degree murder (7 counts),Unknown,Unknown,7 killed; 2 survivors,"February 16 – April 23, 1997",United States,Tennessee,"June 25, 1997"
Samuel Sidyno,Samuel Sidyno1962 (age 61–62)South Africa,Unknown,Unknown,Capital Park Serial Killer,Unknown,Unknown,Unknown,Unknown,7,1998–1999,South Africa,Unknown,6 January 1999
Ripper Jayanandan,"K. P. Jayanandan1968 (1968) (age 56)Thrissur, Kerala, India",Unknown,Unknown,Ripper,Unknown,Murder,Unknown,Unknown,7,2003–2006,India,KeralaKarnataka,23 November 2006
Sibusiso Duma,Sibusiso Derrick Duma (1984-05-06) 6 May 1984 (age 40)South Africa,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,7,9 September – 25 October 2007,South Africa,KwaZulu Natal,2007
Tommy Lynn Sells,"Tommy Lynn Sells(1964-06-28)June 28, 1964Oakland, California, U.S.","April 3, 2014(2014-04-03) (aged 49)Huntsville Unit, Huntsville, Texas, U.S.",Unknown,The Coast-to-Coast Killer,Unknown,"Felony theft, grand theft auto, malicious wounding, capital murder, public intoxication, theft (September 18, 2000)",Unknown,Unknown,1 convicted22+ confirmed70+ claimed,"July 5, 1979 – December 31, 1999",United States,"Missouri, New York, Illinois, Texas, Kentucky,[1] possibly others","January 2, 2000"
Volker Eckert,"Volker Eckert1 July 1959Plauen, East Germany","2 July 2007 (aged 48)Bayreuth, Germany",Unknown,Unknown,Unknown,Attempted murder,Unknown,Unknown,6–19+,7 May 1974 – 2 November 2006,"Czech Republic, France, Germany, Italy, Spain",Unknown,17 November 2006
Lorenzo Gilyard,"Lorenzo Jerome Gilyard, Jr. (1950-05-24) May 24, 1950 (age 74)Kansas City, Missouri, U.S.",Unknown,Unknown,"""The Kansas City Strangler""",Unknown,First degree murder (6 counts),Unknown,Unknown,6–13+,1977–1993,United States,Missouri,2004
Władysław Mazurkiewicz,"(1911-01-31)31 January 1911Kraków, Poland","29 January 1957(1957-01-29) (aged 45)Montelupich Prison, Kraków, Polish People's Republic",Unknown,Unknown,Unknown,Murder (6 counts),Unknown,Unknown,6–30,Unknown,Unknown,Unknown,Unknown
Gong Runbo,6 July 1973China,31 December 2006(2006-12-31) (aged 33)China,Unknown,Unknown,Unknown,Murder,Unknown,Unknown,6–28+,March 2005 – February 2006,China,Unknown,28 February 2006
